Removed Pin From Net: NetName=NewNet236 Pin= U16-1
Removed Pin From Net: NetName=NewNet237 Pin= U16-2
Removed Pin From Net: NetName=NewNet9 Pin= U16-3
Removed Pin From Net: NetName=NewNet38 Pin= U16-4
Removed Pin From Net: NetName=NewNet9 Pin= U16-5
Removed Pin From Net: NetName=NewNet9 Pin= U16-6
Change Component Footprint: Designator=L1 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R1 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R2 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R3 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R4 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R5 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R6 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R7 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R8 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R9 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R10 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R11 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R12 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R13 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R14 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R15 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R16 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R17 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R18 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R19 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R20 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R21 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R22 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R23 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R24 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R25 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R26 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R27 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R28 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R29 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R30 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R31 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R32 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R33 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R34 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R35 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R36 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R37 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R38 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R39 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R40 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R41 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R42 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R43 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R44 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R45 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R46 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R47 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R48 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R49 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R50 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R51 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R52 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R53 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R54 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R55 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R56 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R57 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R58 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R59 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R60 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R61 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R62 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R63 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R64 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R65 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R66 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R67 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R68 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R69 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R70 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R71 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R72 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R73 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R74 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R75 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R76 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R77 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R78 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R79 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R80 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R81 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R82 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R83 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R84 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R85 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R86 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R87 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R88 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R89 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R90 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R91 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R92 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R93 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R94 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R95 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R96 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R97 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R98 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R99 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R100 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R101 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R102 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R103 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R104 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R105 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R106 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R107 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R108 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R109 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R110 Old Footprint=1 New Footprint=R0805
